City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Shache,CN,38.4167,77.2406,24.71,65,100,4.88,overcast clouds
221,Turayf,SA,31.6725,38.6637,39.45,100,0,6.91,clear sky
222,Komsomolskiy,UZ,40.4272,71.7189,38.62,44,100,4.61,overcast clouds
223,Nome,US,64.5011,-165.4064,-0.33,65,0,5.75,clear sky
224,Korla,CN,41.7597,86.1469,22.66,43,97,10.69,overcast clouds
225,Kuandian,CN,40.7286,124.7847,16.25,51,0,5.32,clear sky
226,Linhares,BR,-19.3911,-40.0722,72.66,95,13,2.64,few clouds
227,Aklavik,CA,68.2191,-135.0107,-31.97,88,60,0.6,broken clouds
228,Adrar,MR,20.5022,-10.0711,63.72,7,0,9.08,clear sky
229,Kjollefjord,NO,70.9457,27.3465,24.98,81,64,26.75,broken clouds
230,Mayahi,NE,13.9553,7.6712,58.51,16,0,10.76,clear sky
231,Ginda,IN,30.6945,78.4932,29.37,41,35,4.94,scattered clouds
232,Ponta Delgada,PT,37.7333,-25.6667,60.49,82,20,14.97,few clouds
233,Hohhot,CN,40.8106,111.6522,7.09,61,0,4.47,clear sky
234,Maniitsoq,GL,65.4167,-52.9,3.31,95,100,1.79,snow
235,Tomball,US,30.0972,-95.6161,43.57,65,0,0.0,clear sky
236,Kapaa,US,22.0752,-159.319,79.12,65,0,3.0,clear sky
237,San Patricio,US,28.017,-97.5169,45.01,53,0,7.11,clear sky
238,Sligo,IE,54.2697,-8.4694,44.69,84,95,21.54,overcast clouds
239,Asau,RO,46.4333,26.4,30.96,83,25,6.67,scattered clouds
240,Constitucion,CL,-35.3333,-72.4167,59.97,74,0,11.36,clear sky
241,Fengrun,CN,39.8333,118.1167,29.75,28,20,5.95,few clouds
242,Guhagar,IN,17.4842,73.1929,64.87,83,74,1.72,broken clouds
243,Takoradi,GH,4.8845,-1.7554,79.39,86,4,6.44,light rain
244,Dhidhdhoo,MV,6.8833,73.1,80.17,65,56,5.61,broken clouds
245,Halifax,CA,44.6453,-63.5724,18.09,85,28,5.99,scattered clouds
246,Belaya Gora,RU,68.5333,146.4167,-35.93,98,82,1.83,broken clouds
247,Dom Pedrito,BR,-30.9828,-54.6731,68.4,68,0,11.86,clear sky
248,Salinopolis,BR,-0.6136,-47.3561,77.67,88,100,8.77,overcast clouds
249,Sambava,MG,-14.2667,50.1667,74.34,87,79,4.21,broken clouds
250,Cabo San Lucas,MX,22.8909,-109.9124,66.15,69,3,9.08,clear sky
251,Lavrentiya,RU,65.5833,-171.0,-15.23,95,25,10.58,scattered clouds
252,Cabras,IT,39.93,8.5314,48.07,76,92,2.3,overcast clouds
253,Kiama,AU,-34.6833,150.8667,74.25,57,80,16.71,broken clouds
254,Byron Bay,AU,-28.65,153.6167,73.36,68,91,20.04,overcast clouds
255,Norman Wells,CA,65.282,-126.8329,-18.36,69,40,2.3,scattered clouds
256,Marawi,PH,7.9986,124.2928,73.65,56,74,4.81,broken clouds
257,Quatre Cocos,MU,-20.2078,57.7625,79.09,80,100,14.47,overcast clouds
258,Valparaiso,CL,-33.0393,-71.6273,68.47,73,0,9.22,clear sky
259,Normandin,CA,48.8333,-72.5321,-3.69,58,11,8.05,few clouds
260,Erenhot,CN,43.6475,111.9767,6.33,83,5,6.96,clear sky
261,Esperance,AU,-33.8667,121.9,85.84,37,1,13.53,clear sky
262,Nadvoitsy,RU,63.8667,34.3167,14.34,93,100,13.8,light snow
263,Sungaipenuh,ID,-2.0833,101.3833,63.81,99,100,2.42,overcast clouds
264,Cockburn Town,TC,21.4612,-71.1419,75.16,57,40,8.05,scattered clouds
265,Gundlupet,IN,11.8,76.6833,64.42,85,44,3.89,scattered clouds
266,Nikolskoye,RU,59.7035,30.7861,26.87,96,100,5.12,overcast clouds
267,Katubao,PH,5.8892,124.8294,85.98,62,87,8.16,overcast clouds
268,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,99,18.19,light rain
269,Waterloo,CA,43.4668,-80.5164,10.6,75,0,5.01,clear sky
270,Sorland,NO,67.667,12.6934,36.18,86,65,27.6,light rain
271,Port Elizabeth,ZA,-33.918,25.5701,69.1,94,75,17.27,broken clouds
272,Castro,BR,-24.7911,-50.0119,64.83,97,100,2.39,overcast clouds
273,Opuwo,NA,-18.0607,13.84,66.67,51,100,2.24,overcast clouds
274,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,69,75,24.61,light shower snow
275,Whitehorse,CA,60.7161,-135.0538,27.01,92,100,13.0,light snow
276,Constantine,DZ,36.365,6.6147,44.01,81,0,3.44,clear sky
277,Rawah,IQ,34.4816,41.9093,46.13,64,13,6.76,few clouds
278,Burnie,AU,-41.0667,145.9167,66.94,62,32,10.98,scattered clouds
279,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,0,8.05,clear sky
280,Saint-Francois,FR,46.4154,3.9054,37.42,92,0,6.91,clear sky
281,Urumqi,CN,43.801,87.6005,-1.25,85,11,2.24,mist
282,Guarapari,BR,-20.6667,-40.4975,76.89,88,8,11.74,clear sky
283,Berlevag,NO,70.8578,29.0864,24.39,83,57,25.84,broken clouds
284,Salalah,OM,17.0151,54.0924,71.69,73,75,3.44,broken clouds
285,Cutervo,PE,-6.379,-78.8157,50.85,89,98,4.72,overcast clouds
286,San Carlos De Bariloche,AR,-41.1456,-71.3082,62.35,63,40,6.91,scattered clouds
287,Skjervoy,NO,70.0311,20.9714,30.69,69,99,22.7,overcast clouds
288,Brae,GB,60.3964,-1.353,39.11,55,97,34.87,overcast clouds
289,Hofn,IS,64.2539,-15.2082,29.91,64,100,15.3,overcast clouds
290,Victor Harbor,AU,-35.5667,138.6167,87.8,34,89,12.66,overcast clouds
291,Cururupu,BR,-1.8283,-44.8683,74.8,93,100,2.8,overcast clouds
292,Danlugan,PH,7.8914,123.3728,82.96,63,29,5.59,scattered clouds
293,Nanortalik,GL,60.1432,-45.2371,9.14,61,100,13.76,overcast clouds
294,Bosaso,SO,11.2842,49.1816,70.83,77,100,3.8,overcast clouds
295,Tanete,ID,-3.9443,119.7848,79.65,86,100,1.57,overcast clouds
296,Uhlove,UA,44.8215,33.6045,43.57,81,100,14.2,overcast clouds
297,Lagoa,PT,39.05,-27.9833,58.35,77,2,15.75,clear sky
298,Taranagar,IN,28.6709,75.0351,52.29,63,0,7.38,clear sky
299,Olga,RU,43.7444,135.2892,13.78,46,63,16.04,broken clouds
300,Sukhumi,GE,43.0033,41.0153,32.2,59,100,5.26,overcast clouds
301,Cayenne,GF,4.9333,-52.3333,80.1,85,20,5.01,few clouds
302,Manokwari,ID,-0.8667,134.0833,83.16,67,100,4.85,overcast clouds
303,Saint-Andre-Avellin,CA,45.7168,-75.066,0.68,95,24,3.53,few clouds
304,Pimentel,PE,-6.8367,-79.9342,69.78,85,9,12.73,clear sky
305,Ginir,ET,7.1333,40.7,56.88,23,15,4.9,few clouds
306,Khakhea,BW,-24.6895,23.494,69.03,69,0,7.34,clear sky
307,Ilulissat,GL,69.2167,-51.1,-7.13,81,100,7.29,overcast clouds
308,Dalby,AU,-27.1833,151.2667,75.9,40,18,20.42,few clouds
309,Mbeya,TZ,-8.9,33.45,57.87,93,100,1.7,overcast clouds
310,Yanggu,CN,36.1106,115.7753,35.71,28,100,4.32,overcast clouds
311,Kampong Chhnang,KH,12.1667,104.55,78.75,58,3,9.75,clear sky
312,Vardo,NO,70.3705,31.1107,27.03,79,100,28.03,overcast clouds
313,Margate,GB,51.3813,1.3862,50.97,75,100,11.99,overcast clouds
314,Meulaboh,ID,4.1363,96.1285,78.76,78,89,5.73,overcast clouds
315,Joinville,BR,-26.3044,-48.8456,81.1,89,0,5.75,clear sky
316,Severo-Kurilsk,RU,50.6789,156.125,30.07,83,92,11.52,overcast clouds
317,Lumby,CA,50.2498,-118.969,34.05,80,100,2.3,overcast clouds
318,Bethanien,NA,-26.502,17.1583,80.1,36,83,6.62,broken clouds
319,Porangatu,BR,-13.4408,-49.1486,72.3,93,100,0.49,moderate rain
320,Northam,GB,51.0333,-4.2167,51.03,94,100,32.28,overcast clouds
321,Gebre Guracha,ET,9.8,38.4,53.2,31,48,1.92,scattered clouds
322,Tual,ID,-5.6667,132.75,83.3,74,77,8.34,broken clouds
323,Adolfo Lopez Mateos,MX,28.4667,-107.3,39.92,41,0,6.6,clear sky
324,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,40,10.36,scattered clouds
325,Pangkalanbuun,ID,-2.6833,111.6167,86.02,64,100,3.67,light rain
326,Dubna,RU,56.7333,37.1667,6.93,94,100,7.58,light snow
327,Alice Springs,AU,-23.7,133.8833,80.15,29,0,9.22,clear sky
328,Hare Bay,CA,48.8499,-54.0148,26.2,96,100,11.36,snow
329,Cartagena,CO,10.3997,-75.5144,78.42,78,0,11.5,clear sky
330,Volsk,RU,52.0333,47.3833,24.58,95,100,7.14,light snow
331,East London,ZA,-33.0153,27.9116,69.69,89,96,15.93,light rain
332,Pevek,RU,69.7008,170.3133,-26.55,99,30,1.66,scattered clouds
333,Kudahuvadhoo,MV,2.6708,72.8944,81.07,70,6,10.09,clear sky
334,Katsuura,JP,35.1333,140.3,41.14,33,21,9.71,few clouds
335,Grand-Lahou,CI,5.1367,-5.0242,78.82,86,8,6.98,light rain
336,Canon City,US,38.441,-105.2424,42.78,42,0,6.91,clear sky
337,Gorontalo,ID,0.5412,123.0595,86.88,61,100,1.07,overcast clouds
338,Leningradskiy,RU,69.3833,178.4167,-20.94,96,23,3.02,few clouds
339,Maneadero,MX,31.7167,-116.5667,58.1,49,7,1.99,clear sky
340,Ulaangom,MN,49.9811,92.0667,-23.78,93,97,2.77,overcast clouds
341,Pangnirtung,CA,66.1451,-65.7125,-32.87,96,100,5.21,overcast clouds
342,Novokayakent,RU,42.3937,47.9861,28.45,63,56,5.79,broken clouds
343,Gat,IL,31.61,34.7642,52.39,100,80,6.22,broken clouds
